path,tagname
Furniture.AntiSwanProvisions.AntiSwanProvision.@puic,@puic
Furniture.AntiSwanProvisions.AntiSwanProvision.Metadata.@source,@source
Furniture.AntiSwanProvisions.AntiSwanProvision.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.AntiSwanProvisions.AntiSwanProvision.Metadata.@localID,@localID
Furniture.AntiSwanProvisions.AntiSwanProvision.Metadata.@objectEndTime,@objectEndTime
Furniture.AntiSwanProvisions.AntiSwanProvision.Metadata.@relativeElevation,@relativeElevation
Furniture.AntiSwanProvisions.AntiSwanProvision.Metadata.@registrationTime,@registrationTime
Furniture.AntiSwanProvisions.AntiSwanProvision.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.AntiSwanProvisions.AntiSwanProvision.Metadata.@objectBeginTime,@objectBeginTime
Furniture.AntiSwanProvisions.AntiSwanProvision.Metadata.@originType,@originType
Furniture.AntiSwanProvisions.AntiSwanProvision.Metadata.@isInService,@isInService
Furniture.AntiSwanProvisions.AntiSwanProvision.@name,@name
Furniture.AntiSwanProvisions.AntiSwanProvision.Location.GeographicLocation.@azimuth,@azimuth
Furniture.AntiSwanProvisions.AntiSwanProvision.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.AntiSwanProvisions.AntiSwanProvision.Location.GeographicLocation.gml:LineString.gml:coordinates,gml:coordinates
Furniture.AntiSwanProvisions.AntiSwanProvision.Location.GeographicLocation.gml:LineString.@srsName,@srsName
Furniture.AntiSwanProvisions.AntiSwanProvision.Location.GeographicLocation.@accuracy,@accuracy
Furniture.AntiSwanProvisions.AntiSwanProvision.Location.KmRibbonLocation.@value,@value
Furniture.AntiSwanProvisions.AntiSwanProvision.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.FireHydrants.FireHydrant.@puic,@puic
Furniture.FireHydrants.FireHydrant.Metadata.@source,@source
Furniture.FireHydrants.FireHydrant.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.FireHydrants.FireHydrant.Metadata.@localID,@localID
Furniture.FireHydrants.FireHydrant.Metadata.@objectEndTime,@objectEndTime
Furniture.FireHydrants.FireHydrant.Metadata.@relativeElevation,@relativeElevation
Furniture.FireHydrants.FireHydrant.Metadata.@registrationTime,@registrationTime
Furniture.FireHydrants.FireHydrant.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.FireHydrants.FireHydrant.Metadata.@objectBeginTime,@objectBeginTime
Furniture.FireHydrants.FireHydrant.Metadata.@originType,@originType
Furniture.FireHydrants.FireHydrant.Metadata.@isInService,@isInService
Furniture.FireHydrants.FireHydrant.Location.KmRibbonLocation.@value,@value
Furniture.FireHydrants.FireHydrant.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.FireHydrants.FireHydrant.Location.GeographicLocation.@azimuth,@azimuth
Furniture.FireHydrants.FireHydrant.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.FireHydrants.FireHydrant.Location.GeographicLocation.@accuracy,@accuracy
Furniture.FireHydrants.FireHydrant.Location.GeographicLocation.gml:Point.@srsName,@srsName
Furniture.FireHydrants.FireHydrant.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Furniture.FireHydrants.FireHydrant.@name,@name
Furniture.OhsFences.OhsFence.@isCollapsible,@isCollapsible
Furniture.OhsFences.OhsFence.Metadata.@source,@source
Furniture.OhsFences.OhsFence.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.OhsFences.OhsFence.Metadata.@localID,@localID
Furniture.OhsFences.OhsFence.Metadata.@objectEndTime,@objectEndTime
Furniture.OhsFences.OhsFence.Metadata.@relativeElevation,@relativeElevation
Furniture.OhsFences.OhsFence.Metadata.@registrationTime,@registrationTime
Furniture.OhsFences.OhsFence.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.OhsFences.OhsFence.Metadata.@objectBeginTime,@objectBeginTime
Furniture.OhsFences.OhsFence.Metadata.@originType,@originType
Furniture.OhsFences.OhsFence.Metadata.@isInService,@isInService
Furniture.OhsFences.OhsFence.@name,@name
Furniture.OhsFences.OhsFence.@fencedObjectRef,@fencedObjectRef
Furniture.OhsFences.OhsFence.@puic,@puic
Furniture.OhsFences.OhsFence.Location.GeographicLocation.@azimuth,@azimuth
Furniture.OhsFences.OhsFence.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.OhsFences.OhsFence.Location.GeographicLocation.gml:LineString.gml:coordinates,gml:coordinates
Furniture.OhsFences.OhsFence.Location.GeographicLocation.gml:LineString.@srsName,@srsName
Furniture.OhsFences.OhsFence.Location.GeographicLocation.@accuracy,@accuracy
Furniture.OhsFences.OhsFence.Location.KmRibbonLocation.@value,@value
Furniture.OhsFences.OhsFence.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.WildlifeGuards.WildlifeGuard.@puic,@puic
Furniture.WildlifeGuards.WildlifeGuard.Metadata.@source,@source
Furniture.WildlifeGuards.WildlifeGuard.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.WildlifeGuards.WildlifeGuard.Metadata.@localID,@localID
Furniture.WildlifeGuards.WildlifeGuard.Metadata.@objectEndTime,@objectEndTime
Furniture.WildlifeGuards.WildlifeGuard.Metadata.@relativeElevation,@relativeElevation
Furniture.WildlifeGuards.WildlifeGuard.Metadata.@registrationTime,@registrationTime
Furniture.WildlifeGuards.WildlifeGuard.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.WildlifeGuards.WildlifeGuard.Metadata.@objectBeginTime,@objectBeginTime
Furniture.WildlifeGuards.WildlifeGuard.Metadata.@originType,@originType
Furniture.WildlifeGuards.WildlifeGuard.Metadata.@isInService,@isInService
Furniture.WildlifeGuards.WildlifeGuard.Location.KmRibbonLocation.@value,@value
Furniture.WildlifeGuards.WildlifeGuard.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.WildlifeGuards.WildlifeGuard.Location.GeographicLocation.@azimuth,@azimuth
Furniture.WildlifeGuards.WildlifeGuard.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.WildlifeGuards.WildlifeGuard.Location.GeographicLocation.@accuracy,@accuracy
Furniture.WildlifeGuards.WildlifeGuard.Location.GeographicLocation.gml:Point.@srsName,@srsName
Furniture.WildlifeGuards.WildlifeGuard.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Furniture.WildlifeGuards.WildlifeGuard.@name,@name
Furniture.RetainingWalls.RetainingWall.Metadata.@source,@source
Furniture.RetainingWalls.RetainingWall.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.RetainingWalls.RetainingWall.Metadata.@localID,@localID
Furniture.RetainingWalls.RetainingWall.Metadata.@objectEndTime,@objectEndTime
Furniture.RetainingWalls.RetainingWall.Metadata.@relativeElevation,@relativeElevation
Furniture.RetainingWalls.RetainingWall.Metadata.@registrationTime,@registrationTime
Furniture.RetainingWalls.RetainingWall.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.RetainingWalls.RetainingWall.Metadata.@objectBeginTime,@objectBeginTime
Furniture.RetainingWalls.RetainingWall.Metadata.@originType,@originType
Furniture.RetainingWalls.RetainingWall.Metadata.@isInService,@isInService
Furniture.RetainingWalls.RetainingWall.@name,@name
Furniture.RetainingWalls.RetainingWall.@puic,@puic
Furniture.RetainingWalls.RetainingWall.@civilConstructionRef,@civilConstructionRef
Furniture.RetainingWalls.RetainingWall.Location.GeographicLocation.@azimuth,@azimuth
Furniture.RetainingWalls.RetainingWall.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.RetainingWalls.RetainingWall.Location.GeographicLocation.gml:LineString.gml:coordinates,gml:coordinates
Furniture.RetainingWalls.RetainingWall.Location.GeographicLocation.gml:LineString.@srsName,@srsName
Furniture.RetainingWalls.RetainingWall.Location.GeographicLocation.@accuracy,@accuracy
Furniture.RetainingWalls.RetainingWall.Location.KmRibbonLocation.@value,@value
Furniture.RetainingWalls.RetainingWall.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.Culverts.Culvert.@puic,@puic
Furniture.Culverts.Culvert.Metadata.@source,@source
Furniture.Culverts.Culvert.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.Culverts.Culvert.Metadata.@localID,@localID
Furniture.Culverts.Culvert.Metadata.@objectEndTime,@objectEndTime
Furniture.Culverts.Culvert.Metadata.@relativeElevation,@relativeElevation
Furniture.Culverts.Culvert.Metadata.@registrationTime,@registrationTime
Furniture.Culverts.Culvert.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.Culverts.Culvert.Metadata.@objectBeginTime,@objectBeginTime
Furniture.Culverts.Culvert.Metadata.@originType,@originType
Furniture.Culverts.Culvert.Metadata.@isInService,@isInService
Furniture.Culverts.Culvert.@name,@name
Furniture.Culverts.Culvert.Location.GeographicLocation.@azimuth,@azimuth
Furniture.Culverts.Culvert.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.Culverts.Culvert.Location.GeographicLocation.gml:LineString.gml:coordinates,gml:coordinates
Furniture.Culverts.Culvert.Location.GeographicLocation.gml:LineString.@srsName,@srsName
Furniture.Culverts.Culvert.Location.GeographicLocation.@accuracy,@accuracy
Furniture.Culverts.Culvert.Location.KmRibbonLocation.@value,@value
Furniture.Culverts.Culvert.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.DeerEscapes.DeerEscape.@puic,@puic
Furniture.DeerEscapes.DeerEscape.Metadata.@source,@source
Furniture.DeerEscapes.DeerEscape.Metadata.@sourceDataOwner,@sourceDataOwner
Furniture.DeerEscapes.DeerEscape.Metadata.@localID,@localID
Furniture.DeerEscapes.DeerEscape.Metadata.@objectEndTime,@objectEndTime
Furniture.DeerEscapes.DeerEscape.Metadata.@relativeElevation,@relativeElevation
Furniture.DeerEscapes.DeerEscape.Metadata.@registrationTime,@registrationTime
Furniture.DeerEscapes.DeerEscape.Metadata.@lifeCycleStatus,@lifeCycleStatus
Furniture.DeerEscapes.DeerEscape.Metadata.@objectBeginTime,@objectBeginTime
Furniture.DeerEscapes.DeerEscape.Metadata.@originType,@originType
Furniture.DeerEscapes.DeerEscape.Metadata.@isInService,@isInService
Furniture.DeerEscapes.DeerEscape.Location.KmRibbonLocation.@value,@value
Furniture.DeerEscapes.DeerEscape.Location.KmRibbonLocation.@kmRibbonRef,@kmRibbonRef
Furniture.DeerEscapes.DeerEscape.Location.GeographicLocation.@azimuth,@azimuth
Furniture.DeerEscapes.DeerEscape.Location.GeographicLocation.@dataAcquisitionMethod,@dataAcquisitionMethod
Furniture.DeerEscapes.DeerEscape.Location.GeographicLocation.@accuracy,@accuracy
Furniture.DeerEscapes.DeerEscape.Location.GeographicLocation.gml:Point.@srsName,@srsName
Furniture.DeerEscapes.DeerEscape.Location.GeographicLocation.gml:Point.gml:coordinates,gml:coordinates
Furniture.DeerEscapes.DeerEscape.@name,@name
